Date,Batch_ID,Product,Supplier,Region,Shift,Production_Tons,Quality_Status,Defect_Type,Resolution_Days,Inspection_Score,Production_Cost_EUR
2025-01-01,BATCH-0049,Cat Food Standard,Supplier I,Cork,Day,18.06,Pass,No Defect,0,92.9,14915.04
2025-01-01,BATCH-0869,Dog Food Premium,Supplier B,Limerick,Night,24.87,Pass,No Defect,0,88.8,24846.81
2025-01-01,BATCH-0264,Dog Food Premium,Supplier H,Limerick,Night,19.75,Pass,No Defect,0,94.1,20150.18
2025-01-02,BATCH-0394,Cat Food Standard,Supplier C,Galway,Day,19.29,Pass,No Defect,0,91.1,14380.59
2025-01-02,BATCH-0594,Dog Food Premium,Supplier E,Cork,Night,17.76,Pass,No Defect,0,89.8,17044.3
2025-01-02,BATCH-0603,Dog Food Premium,Supplier C,Limerick,Night,17.71,Pass,No Defect,0,86.0,17499.51
2025-01-03,BATCH-0569,Dog Food Premium,Supplier J,Dublin,Day,13.93,Pass,No Defect,0,89.1,12821.82
2025-01-04,BATCH-0634,Cat Food Premium,Supplier G,Cork,Day,15.98,Pass,No Defect,0,96.9,17033.53
2025-01-04,BATCH-0472,Cat Food Standard,Supplier I,Dublin,Day,21.31,Pass,No Defect,0,85.4,15008.13
2025-01-04,BATCH-0444,Cat Food Standard,Supplier F,Dublin,Day,19.06,Pass,No Defect,0,88.1,16803.66
2025-01-05,BATCH-0214,Livestock Feed,Supplier I,Galway,Day,21.1,Pass,No Defect,0,96.6,15686.79
2025-01-05,BATCH-0315,Cat Food Standard,Supplier E,Dublin,Night,14.71,Pass,No Defect,0,99.3,11680.71
2025-01-05,BATCH-0168,Dog Food Premium,Supplier E,Dublin,Day,16.77,Pass,No Defect,0,91.1,14887.03
2025-01-06,BATCH-0406,Dog Food Standard,Supplier C,Limerick,Night,12.4,Pass,No Defect,0,90.9,8874.17
2025-01-07,BATCH-0364,Cat Food Premium,Supplier H,Dublin,Night,19.44,Pass,No Defect,0,95.2,20499.22
2025-01-07,BATCH-0125,Dog Food Premium,Supplier A,Dublin,Day,27.41,Pass,No Defect,0,89.8,24480.4
2025-01-07,BATCH-0935,Cat Food Premium,Supplier C,Dublin,Day,12.72,Pass,No Defect,0,91.0,13878.83
2025-01-08,BATCH-0664,Dog Food Premium,Supplier C,Galway,Day,10.64,Pass,No Defect,0,89.2,9550.14
2025-01-08,BATCH-0221,Livestock Feed,Supplier E,Cork,Day,19.21,Pass,No Defect,0,92.8,12511.04
2025-01-08,BATCH-0062,Dog Food Premium,Supplier D,Dublin,Night,13.07,Pass,No Defect,0,87.6,13203.87
2025-01-08,BATCH-0434,Dog Food Standard,Supplier C,Cork,Night,18.95,Pass,No Defect,0,91.9,13273.23
